"국사비","검사실명","검사종류","진료과순번","진료과명","접수월","횟수"
"국비","CT검사","Abdomen & Pelvis","1","내과","1월","5"
"국비","골밀도","골밀도","1","내과","1월","2"
"국비","일반검사","Abdomen","1","내과","1월","7"
"국비","일반검사","Chest","1","내과","1월","56"
"국비","초음파검사","Abdomen","1","내과","1월","5"
"국비","CT검사","Abdomen & Pelvis","1","내과","2월","11"
"국비","CT검사","Chest","1","내과","2월","2"
"국비","PACS실","Others","1","내과","2월","2"
"국비","골밀도","골밀도","1","내과","2월","2"
"국비","기타","Abdomen","1","내과","2월","1"
"국비","일반검사","Abdomen","1","내과","2월","7"
"국비","일반검사","Chest","1","내과","2월","72"
"국비","초음파검사","Abdomen","1","내과","2월","2"
"국비","CT검사","Abdomen & Pelvis","1","내과","3월","9"
"국비","MRI검사","Abdomen & Pelvis","1","내과","3월","1"
"국비","일반검사","Abdomen","1","내과","3월","9"
"국비","일반검사","Chest","1","내과","3월","76"
"국비","초음파검사","Abdomen","1","내과","3월","2"
"국비","CT검사","Abdomen & Pelvis","1","내과","4월","12"
"국비","CT검사","Chest","1","내과","4월","2"
"국비","MRI검사","Abdomen & Pelvis","1","내과","4월","1"
"국비","일반검사","Abdomen","1","내과","4월","9"
"국비","일반검사","Chest","1","내과","4월","112"
"국비","CT검사","Abdomen & Pelvis","1","내과","5월","16"
"국비","CT검사","Chest","1","내과","5월","5"
"국비","MRI검사","Abdomen & Pelvis","1","내과","5월","4"
"국비","PACS실","Others","1","내과","5월","3"
"국비","골밀도","골밀도","1","내과","5월","2"
"국비","일반검사","Abdomen","1","내과","5월","13"
"국비","일반검사","Chest","1","내과","5월","123"
"국비","CT검사","Abdomen & Pelvis","1","내과","6월","13"
"국비","CT검사","Chest","1","내과","6월","3"
"국비","PACS실","Others","1","내과","6월","3"
"국비","골밀도","골밀도","1","내과","6월","2"
"국비","일반검사","Abdomen","1","내과","6월","16"
"국비","일반검사","Chest","1","내과","6월","117"
"국비","CT검사","Abdomen & Pelvis","1","내과","7월","13"
"국비","CT검사","Chest","1","내과","7월","3"
"국비","기타","Abdomen","1","내과","7월","2"
"국비","기타","Chest","1","내과","7월","14"
"국비","일반검사","Abdomen","1","내과","7월","11"
"국비","일반검사","Chest","1","내과","7월","144"
"국비","CT검사","Abdomen & Pelvis","1","내과","8월","19"
"국비","기타","Chest","1","내과","8월","1"
"국비","응급실","Chest","1","내과","8월","2"
"국비","일반검사","Abdomen","1","내과","8월","4"
"국비","일반검사","Chest","1","내과","8월","71"
"국비","CT검사","Abdomen & Pelvis","1","내과","9월","14"
"국비","CT검사","Chest","1","내과","9월","3"
"국비","PACS실","Others","1","내과","9월","1"
"국비","일반검사","Abdomen","1","내과","9월","6"
"국비","일반검사","Chest","1","내과","9월","62"
"국비","일반검사","Lower. Ext.","1","내과","9월","6"
"국비","일반검사","Skull","1","내과","9월","1"
"국비","일반검사","Upper. Ext.","1","내과","9월","2"
"국비","CT검사","Abdomen & Pelvis","1","내과","10월","5"
"국비","기타","Chest","1","내과","10월","2"
"국비","일반검사","Abdomen","1","내과","10월","8"
"국비","일반검사","Chest","1","내과","10월","88"
"국비","초음파검사","Abdomen","1","내과","10월","7"
"국비","CT검사","Abdomen & Pelvis","1","내과","11월","31"
"국비","CT검사","Chest","1","내과","11월","2"
"국비","PACS실","Others","1","내과","11월","5"
"국비","기타","Abdomen","1","내과","11월","1"
"국비","기타","Chest","1","내과","11월","1"
"국비","일반검사","Abdomen","1","내과","11월","48"
"국비","일반검사","Chest","1","내과","11월","117"
"국비","초음파검사","Abdomen","1","내과","11월","6"
"국비","초음파검사","Doppler","1","내과","11월","1"
"국비","CT검사","Abdomen & Pelvis","1","내과","12월","16"
"국비","CT검사","Chest","1","내과","12월","2"
"국비","MRI검사","Abdomen & Pelvis","1","내과","12월","1"
"국비","PACS실","Others","1","내과","12월","3"
"국비","기타","Chest","1","내과","12월","1"
"국비","일반검사","Abdomen","1","내과","12월","20"
"국비","일반검사","Chest","1","내과","12월","82"
"국비","초음파검사","Abdomen","1","내과","12월","8"
"사비","CT검사","Abdomen & Pelvis","1","내과","1월","18"
"사비","CT검사","Chest","1","내과","1월","2"
"사비","PACS실","Others","1","내과","1월","1"
"사비","골밀도","골밀도","1","내과","1월","10"
"사비","기타","Abdomen","1","내과","1월","1"
"사비","기타","Chest","1","내과","1월","1"
"사비","일반검사","Abdomen","1","내과","1월","10"
"사비","일반검사","Chest","1","내과","1월","115"
"사비","일반검사","Lower. Ext.","1","내과","1월","3"
"사비","일반검사","Spine","1","내과","1월","10"
"사비","초음파검사","Abdomen","1","내과","1월","16"
"사비","초음파검사","Doppler","1","내과","1월","1"
"사비","초음파검사","Head & Neck","1","내과","1월","4"
"사비","CT검사","Abdomen & Pelvis","1","내과","2월","13"
"사비","CT검사","Chest","1","내과","2월","4"
"사비","PACS실","Others","1","내과","2월","2"
"사비","골밀도","골밀도","1","내과","2월","12"
"사비","기타","Abdomen","1","내과","2월","2"
"사비","기타","Chest","1","내과","2월","4"
"사비","일반검사","Abdomen","1","내과","2월","6"
"사비","일반검사","Chest","1","내과","2월","84"
"사비","일반검사","Spine","1","내과","2월","14"
"사비","초음파검사","Abdomen","1","내과","2월","13"
"사비","초음파검사","Doppler","1","내과","2월","1"
"사비","초음파검사","Head & Neck","1","내과","2월","1"
"사비","CT검사","Abdomen & Pelvis","1","내과","3월","20"
"사비","CT검사","Chest","1","내과","3월","2"
"사비","PACS실","Others","1","내과","3월","1"
"사비","골밀도","골밀도","1","내과","3월","6"
"사비","기타","Abdomen","1","내과","3월","1"
"사비","기타","Chest","1","내과","3월","1"
